Data,Judet,UAT,Metoda de interventie,Sex,Detalii referitoare la eveniment,Echipa de interventie,FC,Judet_relocare,lat,long,event_type,status_log,Nr_raport,Nr_identificare
,Brașov,ZĂRNEŞTI,Alungat,,"In urma apelului de urgență echipa s-a deplasat la fața loclului, dar ursul nu a mai fost găsit.","IJJ Buzau, reprezentant UAT Zarnesti, reprezentant AV Stejarul Bucure;ti",ZARNESTI 57,,45.302091,26.864385,alungare,,,
2021-10-15,Brasov,CRIZBAV,Alungat,Mascul,"In jurul orei 07,40 am, a fost observat un urs pe cursul râului care traverseză localitatea Crizbav. Echipa a intervenit și a alungat ursul în zona pădurii Sideriaș prin cimitirul localității.","Reprezentant Primaria Crizbav, reprezentant Inspectoratul Judetean Jandarmi, medic veterinar, reprezentant gestionar, apelant",CRIZBAV 13,,45.813056,25.468714,alungare,,4621/15.10.2021,
2021-10-20,Prahova,COMARNIC,Alungat,Mascul,"Urs aflat in gradina particulara, alungat prin metode sonore","reprez. UM 0756,  paznici vanat. AVPS Campina",COMARNIC 24,,45.2383350316,25.6373944624,alungare,stereo70,12565/20.10.2021,
2021-10-20,Brasov,CRIZBAV,Alungat,Mascul,"În jurul orei 06,22 a fost observat un urs pe raza localității Crizbav, deplasându-se pe cursul râului din centrul localității; echipa de intervenție a alungat animalul prin cimitirul localității spre pădure (Sideriaș).","Reprezentant Primaria Crizbav, reprezentant Insp.Jud.de Jandarmi BV, medic veterinar, reprezentant gestionar(AVP Dopiresco),apelant",CRIZBAV 13,,45.815084,25.465660,alungare,,4684/20.10.2021,
2021-10-18,Argeș,BUGHEA DE SUS,Alungat,Mascul,Echipajul de jandarmi imreuna cu persoana păgubită au identificat urme de urs și gardul rupt. Persoana păgubită a observat ca lipsește un porc. Ursul nu a fost găsit.,jandarmerie,RAUL TARGULUI 18,,45.295248,25.031837,alungare,,1501366 din 18.10.2021,
2021-10-21,Prahova,COMARNIC,Alungat,Mascul,Alungare prin metode sonore si cu fascicule luminoase,"Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",COMARNIC 24,,45.2383350316,25.6373944624,alungare,stereo70,12622/21.10.2021,
,Suceava,HORODNICENI,Alungat,,"În data de 16.10.2021 în jur de ora 00:30 - 01:00, în apropiere de fabrica de prelucrare a produselor lactate S.C. Laktotrio 2001 Prod S.R.L, comuna Horodniceni, județul Suceava, un urs a atacat turma de oi a fermei, sfâșiind o ovină. incidentul s-a  repetat și în noaptea de 17.10.2021 în jurul orei 23 când în apropierea fabricii au apărut 2 urși. La fața locului s-a deplasat echipa  operativă care a procedat la alungarea animalelor.","Primar U.A.T. Horodniceni, Medic veterinar, Personal Jandarmerie -Unitatea Fălticeni",ROTOPANESTI 67,,47.5284810998,26.1634052518,alungare,,,
2021-10-29,Prahova,COMARNIC,Alungat,Mascul,"Alungare prin metode sonore si cu fascicule luminoase, s-a executat foc de arma in plan vertical, ursul se afla intr-o gradina","Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",COMARNIC 24,,45.2383350316,25.6373944624,alungare,stereo70,12934/29.10.2021,
2021-10-28,Prahova,COMARNIC,Alungat,Mascul,"Alungare prin metode sonore si cu fascicule luminoase, s-a executat foc de arma in plan vertical, ursul se afla intr-o gradina","Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",COMARNIC 24,,45.2383350316,25.6373944624,alungare,stereo70,12883/28.10.2021,
,Buau,CHIOJDU,Alungat,,"A fost sesizat ca un  pui de urs a fost prins în gardul unui cetatean  din satul Poienița de Sus com Chiojdu, comisia a hotarat tranchilizarea acestuia si eliberarea în zona învecinată în fond forestier.","IJJ Buzau, UAT Chiojdu  DS Buzau",SIRIU 33,,45.399142,26.192423,alungare,,,
,Bacău,PALANCA,Alungat,Mascul,"Un exemplar de urs a fost alungat din intravilanul comunei Palanca, cu ajutorul semnalelor acustice.","Jandarmerie - UM 0836, UAT Palanca, Personal tehnic gestionar , Medic veterinar imputernicit .",COTUMBA 3,,46.5331701012,26.1304299724,alungare,,4314,
2021-11-01,Arges,VALEA IAŞULUI,Alungat,Mascul,"Ca urmare a unui apel telefonic, echipa de intervenție s-a deplasat în comuna Valea Iașului, sat Valea Uleiului. Nu a fost gasit ursul. Nu au fost victime sau pagube materiale.",jandarmerie,VALEA DANULUI 6,,45.186142,24.704787,alungare,,1501538 din 01.11.2021,
2021-11-08,Harghita,SÂNDOMINIC,Alungat,,"Proprietarul a anuntat telefon viceprimarul comunei despre un urs care intentiona sa intre in grajdul de cai. Animalul a fost indepartat prin gonire, a distrus gardul din BCA.","Primarul si viceprimarul comunei, reprezentant AVPS Miercurea Ciuc.",BALAN 15,,46.603250,25.803631,alungare,,5982/08.11.2021,
